No,Tanggal,Nama,Awal,Tambahan,Penjualan,Diambil,Sisa,Total
179,21/02/2022,Cheesy,7,0,0,0,7,0
180,21/02/2022,Chocy Lover,5,2,1,2,4,3
181,21/02/2022,Cream Keju,2,2,0,0,4,0
182,21/02/2022,Durian,3,2,3,0,2,3
183,21/02/2022,Long Stik,4,2,3,0,3,3
184,21/02/2022,Rapisa,1,2,1,0,2,1
185,21/02/2022,Space Jam,2,2,1,0,3,1
186,21/02/2022,Pisang Coklat,3,7,6,0,4,6
187,21/02/2022,Kacang Merah,4,2,4,0,2,4
188,21/02/2022,Vanilla,0,0,0,0,0,0
189,21/02/2022,Banana,2,2,2,0,2,2
190,21/02/2022,Mocca,6,0,0,6,0,6
191,21/02/2022,Susu,5,0,5,0,0,5
192,21/02/2022,Srikaya,0,0,0,0,0,0
193,21/02/2022,Roman Tape,3,6,3,0,6,3
194,21/02/2022,Donat,0,0,0,0,0,0
195,21/02/2022,Krumpul,6,0,2,0,4,2
196,21/02/2022,Tiramisu,0,0,0,0,0,0
197,22/02/2022,Bronis Kukus,1,4,1,0,4,1
198,22/02/2022,Bronis Oven,3,0,0,0,3,0
199,22/02/2022,F 20,0,1,0,0,1,0
200,22/02/2022,B 20,1,1,0,0,2,0
201,22/02/2022,F Kacang,0,0,0,0,0,0
202,22/02/2022,B Kacang,0,0,0,0,0,0
203,22/02/2022,Marmer Kotak,1,0,0,0,1,0
204,22/02/2022,Marmer Bulat,1,0,1,0,0,1
205,22/02/2022,Pandan Kotak,1,0,1,0,0,1
206,22/02/2022,Pandan Bulat,1,0,0,0,1,0
207,22/02/2022,Chiffon Keju,0,0,0,0,0,0
208,22/02/2022,Chiffon Biasa,0,0,0,0,0,0
209,22/02/2022,Bakpia,0,0,0,0,0,0
210,22/02/2022,Tawar,2,4,2,0,4,2
211,22/02/2022,Taker,13,0,0,0,13,0
212,22/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
213,22/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
214,22/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
215,22/02/2022,Roll Nanas K,0,0,0,0,0,0
216,22/02/2022,Roll Coklat B,1,0,0,0,1,0
217,22/02/2022,Roll Coklat K,1,0,0,0,1,0
218,22/02/2022,Cake Tape,2,0,1,0,1,1
219,22/02/2022,Cake Spekuk,0,0,0,0,0,0
220,22/02/2022,Cake Keju,0,2,0,0,2,0
221,22/02/2022,Cake Keju Meses,1,2,1,0,2,1
222,22/02/2022,Cake Meses,0,0,0,0,0,0
223,22/02/2022,Aloha,3,1,1,0,3,1
224,22/02/2022,Abon,10,0,5,0,5,5
225,22/02/2022,Ayam,3,0,1,0,2,1
226,22/02/2022,Almond,0,0,0,0,0,0
227,22/02/2022,Cocopandan,4,0,2,0,2,2
228,22/02/2022,Cheesy,7,0,7,0,0,7
229,22/02/2022,Chocy Lover,4,0,1,1,2,2
230,22/02/2022,Cream Keju,4,0,4,0,0,4
231,22/02/2022,Durian,2,0,0,0,2,0
232,22/02/2022,Long Stik,3,0,1,0,2,1
233,22/02/2022,Rapisa,2,0,0,0,2,0
234,22/02/2022,Space Jam,3,0,1,1,1,2
235,22/02/2022,Pisang Coklat,4,3,2,0,5,2
236,22/02/2022,Kacang Merah,2,0,0,0,2,0
237,22/02/2022,Vanilla,0,0,0,0,0,0
238,22/02/2022,Banana,2,0,0,0,2,0
239,22/02/2022,Mocca,0,0,0,0,0,0
240,22/02/2022,Susu,0,0,0,0,0,0
241,22/02/2022,Srikaya,0,0,0,0,0,0
242,22/02/2022,Roman Tape,6,0,1,0,5,1
243,22/02/2022,Donat,0,0,0,0,0,0
244,22/02/2022,Krumpul,4,1,4,0,1,4
245,22/02/2022,Tiramisu,0,0,0,0,0,0
246,23/02/2022,Bronis Kukus,4,0,1,0,3,1
247,23/02/2022,Bronis Oven,3,0,0,0,3,0
248,23/02/2022,F 20,1,0,1,0,0,1
249,23/02/2022,B 20,2,0,0,0,2,0
250,23/02/2022,F Kacang,0,0,0,0,0,0
251,23/02/2022,B Kacang,0,0,0,0,0,0
252,23/02/2022,Marmer Kotak,1,1,2,0,0,2
253,23/02/2022,Marmer Bulat,0,1,0,0,1,0
254,23/02/2022,Pandan Kotak,0,1,1,0,0,1
255,23/02/2022,Pandan Bulat,1,1,1,0,1,1
256,23/02/2022,Chiffon Keju,0,0,0,0,0,0
257,23/02/2022,Chiffon Biasa,0,0,0,0,0,0
258,23/02/2022,Bakpia,0,0,0,0,0,0
259,23/02/2022,Tawar,4,4,3,0,5,3
260,23/02/2022,Taker,13,0,0,0,13,0
261,23/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
262,23/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
263,23/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
264,23/02/2022,Roll Nanas K,0,0,0,0,0,0
265,23/02/2022,Roll Coklat B,1,1,1,0,1,1
266,23/02/2022,Roll Coklat K,1,2,1,0,2,1
267,23/02/2022,Cake Tape,1,0,0,0,1,0
268,23/02/2022,Cake Spekuk,0,0,0,0,0,0
269,23/02/2022,Cake Keju,2,0,0,0,2,0
270,23/02/2022,Cake Keju Meses,2,0,0,0,2,0
271,23/02/2022,Cake Meses,0,0,0,0,0,0
272,23/02/2022,Aloha,3,2,2,0,3,2
273,23/02/2022,Abon,5,2,0,0,7,0
274,23/02/2022,Ayam,2,2,0,0,4,0
275,23/02/2022,Almond,0,0,0,0,0,0
276,23/02/2022,Cocopandan,2,2,0,0,4,0
277,23/02/2022,Cheesy,0,0,0,0,0,0
278,23/02/2022,Chocy Lover,2,8,0,0,10,0
279,23/02/2022,Cream Keju,0,2,0,0,2,0
280,23/02/2022,Durian,2,2,0,0,4,0
281,23/02/2022,Long Stik,2,2,0,0,4,0
282,23/02/2022,Rapisa,2,2,0,0,4,0
283,23/02/2022,Space Jam,1,2,0,0,3,0
284,23/02/2022,Pisang Coklat,5,4,0,0,9,0
285,23/02/2022,Kacang Merah,2,2,2,0,2,2
286,23/02/2022,Vanilla,0,0,0,0,0,0
287,23/02/2022,Banana,2,2,0,0,4,0
288,23/02/2022,Mocca,0,0,0,0,0,0
289,23/02/2022,Susu,0,0,0,0,0,0
290,23/02/2022,Srikaya,0,0,0,0,0,0
291,23/02/2022,Roman Tape,5,0,0,0,5,0
292,23/02/2022,Donat,0,0,0,0,0,0
293,23/02/2022,Krumpul,1,4,0,0,5,0
294,23/02/2022,Tiramisu,0,0,0,0,0,0
295,24/02/2022,Bronis Kukus,3,0,1,0,2,1
296,24/02/2022,Bronis Oven,3,0,0,0,3,0
297,24/02/2022,F 20,0,1,0,0,1,0
298,24/02/2022,B 20,2,1,1,0,2,1
299,24/02/2022,F Kacang,0,0,0,0,0,0
300,24/02/2022,B Kacang,0,0,0,0,0,0
301,24/02/2022,Marmer Kotak,0,0,0,0,0,0
302,24/02/2022,Marmer Bulat,1,0,0,0,1,0
303,24/02/2022,Pandan Kotak,0,0,0,0,0,0
304,24/02/2022,Pandan Bulat,1,0,1,0,0,1
305,24/02/2022,Chiffon Keju,0,3,0,0,3,0
306,24/02/2022,Chiffon Biasa,0,0,0,0,0,0
307,24/02/2022,Bakpia,0,0,0,0,0,0
308,24/02/2022,Tawar,5,4,3,0,6,3
309,24/02/2022,Taker,13,0,0,0,13,0
310,24/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
311,24/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
312,24/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
313,24/02/2022,Roll Nanas K,0,0,0,0,0,0
314,24/02/2022,Roll Coklat B,1,0,0,0,1,0
315,24/02/2022,Roll Coklat K,2,0,0,0,2,0
316,24/02/2022,Cake Tape,1,3,2,0,2,2
317,24/02/2022,Cake Spekuk,0,0,0,0,0,0
318,24/02/2022,Cake Keju,2,1,0,0,3,0
319,24/02/2022,Cake Keju Meses,2,3,0,0,5,0
320,24/02/2022,Cake Meses,0,0,0,0,0,0
321,24/02/2022,Aloha,3,0,0,0,3,0
322,24/02/2022,Abon,7,0,5,0,2,5
323,24/02/2022,Ayam,4,0,2,0,2,2
324,24/02/2022,Almond,0,0,0,0,0,0
325,24/02/2022,Cocopandan,4,0,2,0,2,2
326,24/02/2022,Cheesy,0,0,0,0,0,0
327,24/02/2022,Chocy Lover,10,0,2,0,8,2
328,24/02/2022,Cream Keju,2,0,0,0,2,0
329,24/02/2022,Durian,4,0,2,0,2,2
330,24/02/2022,Long Stik,4,0,2,0,2,2
331,24/02/2022,Rapisa,4,0,3,1,0,4
332,24/02/2022,Space Jam,3,0,1,0,2,1
333,24/02/2022,Pisang Coklat,9,0,3,0,6,3
334,24/02/2022,Kacang Merah,2,0,0,0,2,0
335,24/02/2022,Vanilla,0,0,0,0,0,0
336,24/02/2022,Banana,4,0,2,0,2,2
337,24/02/2022,Mocca,0,0,0,0,0,0
338,24/02/2022,Susu,0,0,0,0,0,0
339,24/02/2022,Srikaya,0,0,0,0,0,0
340,24/02/2022,Roman Tape,5,6,5,0,6,5
341,24/02/2022,Donat,0,0,0,0,0,0
342,24/02/2022,Krumpul,5,0,1,0,4,1
343,24/02/2022,Tiramisu,0,0,0,0,0,0
344,25/02/2022,Bronis Kukus,2,5,2,0,5,2
345,25/02/2022,Bronis Oven,3,0,0,0,3,0
346,25/02/2022,F 20,1,0,0,0,1,0
347,25/02/2022,B 20,2,0,0,1,1,1
348,25/02/2022,F Kacang,0,0,0,0,0,0
349,25/02/2022,B Kacang,0,0,0,0,0,0
350,25/02/2022,Marmer Kotak,0,1,0,0,1,0
351,25/02/2022,Marmer Bulat,1,1,0,0,2,0
352,25/02/2022,Pandan Kotak,0,1,0,0,1,0
353,25/02/2022,Pandan Bulat,0,1,0,0,1,0
354,25/02/2022,Chiffon Keju,3,0,2,0,1,2
355,25/02/2022,Chiffon Biasa,0,0,0,0,0,0
356,25/02/2022,Bakpia,0,0,0,0,0,0
357,25/02/2022,Tawar,6,4,9,0,1,9
358,25/02/2022,Taker,13,0,0,0,13,0
359,25/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
360,25/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
361,25/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
362,25/02/2022,Roll Nanas K,0,0,0,0,0,0
363,25/02/2022,Roll Coklat B,1,1,1,0,1,1
364,25/02/2022,Roll Coklat K,2,2,2,0,2,2
365,25/02/2022,Cake Tape,2,0,0,0,2,0
366,25/02/2022,Cake Spekuk,0,0,0,0,0,0
367,25/02/2022,Cake Keju,3,0,1,1,1,2
368,25/02/2022,Cake Keju Meses,5,0,2,1,2,3
369,25/02/2022,Cake Meses,0,0,0,0,0,0
370,25/02/2022,Aloha,3,2,1,0,4,1
371,25/02/2022,Abon,2,2,1,0,3,1
372,25/02/2022,Ayam,2,6,0,0,8,0
373,25/02/2022,Almond,0,0,0,0,0,0
374,25/02/2022,Cocopandan,2,2,0,0,4,0
375,25/02/2022,Cheesy,0,0,0,0,0,0
376,25/02/2022,Chocy Lover,8,2,1,0,9,1
377,25/02/2022,Cream Keju,2,2,0,0,4,0
378,25/02/2022,Durian,2,2,0,0,4,0
379,25/02/2022,Long Stik,2,2,0,0,4,0
380,25/02/2022,Rapisa,0,2,0,0,2,0
381,25/02/2022,Space Jam,2,2,0,0,4,0
382,25/02/2022,Pisang Coklat,6,6,3,0,9,3
383,25/02/2022,Kacang Merah,2,2,0,0,4,0
384,25/02/2022,Vanilla,0,2,0,0,2,0
385,25/02/2022,Banana,2,0,1,0,1,1
386,25/02/2022,Mocca,0,0,0,0,0,0
387,25/02/2022,Susu,0,0,0,0,0,0
388,25/02/2022,Srikaya,0,0,0,0,0,0
389,25/02/2022,Roman Tape,6,0,2,0,4,2
390,25/02/2022,Donat,0,0,0,0,0,0
391,25/02/2022,Krumpul,4,4,2,0,6,2
392,25/02/2022,Tiramisu,0,0,0,0,0,0
393,26/02/2022,Bronis Kukus,5,2,0,0,7,0
394,26/02/2022,Bronis Oven,3,0,2,0,1,2
395,26/02/2022,F 20,1,1,0,0,2,0
396,26/02/2022,B 20,1,1,0,0,2,0
397,26/02/2022,F Kacang,0,0,0,0,0,0
398,26/02/2022,B Kacang,0,0,0,0,0,0
399,26/02/2022,Marmer Kotak,1,1,0,0,2,0
400,26/02/2022,Marmer Bulat,2,1,2,0,1,2
401,26/02/2022,Pandan Kotak,1,1,0,0,2,0
402,26/02/2022,Pandan Bulat,1,1,1,0,1,1
403,26/02/2022,Chiffon Keju,1,0,0,0,1,0
404,26/02/2022,Chiffon Biasa,0,0,0,0,0,0
405,26/02/2022,Bakpia,0,0,0,0,0,0
406,26/02/2022,Tawar,1,4,2,0,3,2
407,26/02/2022,Taker,13,0,0,0,13,0
408,26/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
409,26/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
410,26/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
411,26/02/2022,Roll Nanas K,0,0,0,0,0,0
412,26/02/2022,Roll Coklat B,1,1,0,0,2,0
413,26/02/2022,Roll Coklat K,2,2,1,0,3,1
414,26/02/2022,Cake Tape,2,3,0,0,5,0
415,26/02/2022,Cake Spekuk,0,0,0,0,0,0
416,26/02/2022,Cake Keju,1,2,1,0,2,1
417,26/02/2022,Cake Keju Meses,2,2,1,0,3,1
418,26/02/2022,Cake Meses,0,0,0,0,0,0
419,26/02/2022,Aloha,4,3,4,0,3,4
420,26/02/2022,Abon,3,3,1,0,5,1
421,26/02/2022,Ayam,8,2,7,0,3,7
422,26/02/2022,Almond,0,0,0,0,0,0
423,26/02/2022,Cocopandan,4,2,3,0,3,3
424,26/02/2022,Cheesy,0,0,0,0,0,0
425,26/02/2022,Chocy Lover,9,3,7,0,5,7
426,26/02/2022,Cream Keju,4,2,2,0,4,2
427,26/02/2022,Durian,4,2,4,0,2,4
428,26/02/2022,Long Stik,4,2,4,0,2,4
429,26/02/2022,Rapisa,2,2,2,0,2,2
430,26/02/2022,Space Jam,4,2,3,0,3,3
431,26/02/2022,Pisang Coklat,9,6,2,2,11,4
432,26/02/2022,Kacang Merah,4,2,2,2,2,4
433,26/02/2022,Vanilla,2,0,1,0,1,1
434,26/02/2022,Banana,1,2,1,0,2,1
435,26/02/2022,Mocca,0,0,0,0,0,0
436,26/02/2022,Susu,0,0,0,0,0,0
437,26/02/2022,Srikaya,0,0,0,0,0,0
438,26/02/2022,Roman Tape,4,6,2,0,8,2
439,26/02/2022,Donat,0,0,0,0,0,0
440,26/02/2022,Krumpul,6,0,2,0,4,2
441,26/02/2022,Tiramisu,0,0,0,0,0,0
442,27/02/2022,Bronis Kukus,7,0,4,0,3,4
443,27/02/2022,Bronis Oven,1,0,1,0,0,1
444,27/02/2022,F 20,2,0,0,1,1,1
445,27/02/2022,B 20,2,0,1,0,1,1
446,27/02/2022,F Kacang,0,0,0,0,0,0
447,27/02/2022,B Kacang,0,0,0,0,0,0
448,27/02/2022,Marmer Kotak,2,0,0,0,2,0
449,27/02/2022,Marmer Bulat,1,0,0,0,1,0
450,27/02/2022,Pandan Kotak,2,0,0,0,2,0
451,27/02/2022,Pandan Bulat,1,0,0,0,1,0
452,27/02/2022,Chiffon Keju,1,0,1,0,0,1
453,27/02/2022,Chiffon Biasa,0,0,0,0,0,0
454,27/02/2022,Bakpia,0,0,0,0,0,0
455,27/02/2022,Tawar,3,0,1,0,2,1
456,27/02/2022,Taker,13,0,0,0,13,0
457,27/02/2022,Lapis Warna 20 cm Kotak,0,0,0,0,0,0
458,27/02/2022,Lapis Warna 20 cm Bulat,0,0,0,0,0,0
459,27/02/2022,Lapis Warna 18 cm Kotak,0,0,0,0,0,0
460,27/02/2022,Roll Nanas K,0,0,0,0,0,0
461,27/02/2022,Roll Coklat B,2,0,1,0,1,1
462,27/02/2022,Roll Coklat K,3,0,2,0,1,2
463,27/02/2022,Cake Tape,5,0,3,0,2,3
464,27/02/2022,Cake Spekuk,0,0,0,0,0,0
465,27/02/2022,Cake Keju,2,0,0,0,2,0
466,27/02/2022,Cake Keju Meses,3,0,3,0,0,3
467,27/02/2022,Cake Meses,0,0,0,0,0,0
468,27/02/2022,Aloha,3,0,0,0,3,0
469,27/02/2022,Abon,5,0,0,0,5,0
470,27/02/2022,Ayam,3,0,0,0,3,0
471,27/02/2022,Almond,0,0,0,0,0,0
472,27/02/2022,Cocopandan,3,0,0,0,3,0
473,27/02/2022,Cheesy,0,0,0,0,0,0
474,27/02/2022,Chocy Lover,5,0,0,0,5,0
475,27/02/2022,Cream Keju,4,0,2,0,2,2
476,27/02/2022,Durian,2,0,0,0,2,0
477,27/02/2022,Long Stik,2,5,0,0,7,0
478,27/02/2022,Rapisa,2,0,0,0,2,0
479,27/02/2022,Space Jam,3,0,0,0,3,0
480,27/02/2022,Pisang Coklat,11,0,4,1,6,5
481,27/02/2022,Kacang Merah,2,0,1,0,1,1
482,27/02/2022,Vanilla,1,0,0,0,1,0
483,27/02/2022,Banana,2,0,0,0,2,0
484,27/02/2022,Mocca,0,0,0,0,0,0
485,27/02/2022,Susu,0,0,0,0,0,0
486,27/02/2022,Srikaya,0,0,0,0,0,0
487,27/02/2022,Roman Tape,8,0,2,0,6,2
488,27/02/2022,Donat,0,0,0,0,0,0
489,27/02/2022,Krumpul,4,0,0,0,4,0
490,27/02/2022,Tiramisu,0,0,0,0,0,0
491,28/02/2022,Bronis Kukus,3,4,3,0,4,3
